clause,risk,category,reason
Data anonymized. (variation 462),Low,Privacy,Privacy preserved
Company may change pricing anytime. (variation 463),High,Payment,Unpredictable costs
Company can terminate without notice. (variation 464),High,Termination,Unfair
Company may change pricing anytime. (variation 465),High,Payment,Unpredictable costs
Flexible payment options available. (variation 466),Low,Payment,User-friendly
User activity tracked. (variation 467),Medium,Privacy,Tracking concern
Data anonymized. (variation 468),Low,Privacy,Privacy preserved
Full liability accepted by vendor. (variation 469),Low,Liability,Favorable to client
Company can terminate without notice. (variation 470),High,Termination,Unfair
Company may change pricing anytime. (variation 471),High,Payment,Unpredictable costs
Termination requires 60 days notice. (variation 472),Low,Termination,Reasonable
Termination penalty applies. (variation 473),High,Termination,Financial burden
Vendor liable only for direct damages. (variation 474),Medium,Liability,Partial limitation
Late fee of 5% per month. (variation 475),Medium,Payment,High penalty
Data anonymized. (variation 476),Low,Privacy,Privacy preserved
Vendor liable only for direct damages. (variation 477),Medium,Liability,Partial limitation
Termination requires 60 days notice. (variation 478),Low,Termination,Reasonable
Data anonymized. (variation 479),Low,Privacy,Privacy preserved
User activity tracked. (variation 480),Medium,Privacy,Tracking concern
Payment due within 30 days. (variation 481),Low,Payment,Standard terms
Full liability accepted by vendor. (variation 482),Low,Liability,Favorable to client
Contract auto-renews annually. (variation 483),Medium,Termination,Lock-in risk
Vendor is not liable for indirect damages. (variation 484),High,Liability,Removes accountability
Flexible payment options available. (variation 485),Low,Payment,User-friendly
Data anonymized. (variation 486),Low,Privacy,Privacy preserved
Full liability accepted by vendor. (variation 487),Low,Liability,Favorable to client
Late fee of 5% per month. (variation 488),Medium,Payment,High penalty
Company can terminate without notice. (variation 489),High,Termination,Unfair
Full liability accepted by vendor. (variation 490),Low,Liability,Favorable to client
Data encrypted at rest. (variation 491),Low,Privacy,Secure
Data encrypted at rest. (variation 492),Low,Privacy,Secure
Data anonymized. (variation 493),Low,Privacy,Privacy preserved
Full liability accepted by vendor. (variation 494),Low,Liability,Favorable to client
Vendor is not liable for indirect damages. (variation 495),High,Liability,Removes accountability
Company can terminate without notice. (variation 496),High,Termination,Unfair
Data encrypted at rest. (variation 497),Low,Privacy,Secure
User activity tracked. (variation 498),Medium,Privacy,Tracking concern
Client data shared with third parties. (variation 499),High,Privacy,Privacy risk
Payment due within 30 days. (variation 500),Low,Payment,Standard terms
Flexible payment options available. (variation 501),Low,Payment,User-friendly
User activity tracked. (variation 502),Medium,Privacy,Tracking concern
User activity tracked. (variation 503),Medium,Privacy,Tracking concern
Company can terminate without notice. (variation 504),High,Termination,Unfair
Payment due within 30 days. (variation 505),Low,Payment,Standard terms
Data anonymized. (variation 506),Low,Privacy,Privacy preserved
Liability is capped at total fees paid. (variation 507),High,Liability,Limits compensation
Company can terminate without notice. (variation 508),High,Termination,Unfair
Payment due within 30 days. (variation 509),Low,Payment,Standard terms
Termination penalty applies. (variation 510),High,Termination,Financial burden
Company can terminate without notice. (variation 511),High,Termination,Unfair
Flexible payment options available. (variation 512),Low,Payment,User-friendly
Vendor liable only for direct damages. (variation 513),Medium,Liability,Partial limitation
Client data shared with third parties. (variation 514),High,Privacy,Privacy risk
Contract auto-renews annually. (variation 515),Medium,Termination,Lock-in risk
Termination requires 60 days notice. (variation 516),Low,Termination,Reasonable
Termination requires 60 days notice. (variation 517),Low,Termination,Reasonable
Vendor is not liable for indirect damages. (variation 518),High,Liability,Removes accountability
Full liability accepted by vendor. (variation 519),Low,Liability,Favorable to client
Data encrypted at rest. (variation 520),Low,Privacy,Secure
Vendor liable only for direct damages. (variation 521),Medium,Liability,Partial limitation
Data anonymized. (variation 522),Low,Privacy,Privacy preserved
Contract auto-renews annually. (variation 523),Medium,Termination,Lock-in risk
Contract auto-renews annually. (variation 524),Medium,Termination,Lock-in risk
Company can terminate without notice. (variation 525),High,Termination,Unfair
Payment due within 30 days. (variation 526),Low,Payment,Standard terms
Contract auto-renews annually. (variation 527),Medium,Termination,Lock-in risk
Full liability accepted by vendor. (variation 528),Low,Liability,Favorable to client
Termination requires 60 days notice. (variation 529),Low,Termination,Reasonable
Data encrypted at rest. (variation 530),Low,Privacy,Secure
Company may change pricing anytime. (variation 531),High,Payment,Unpredictable costs
Full liability accepted by vendor. (variation 532),Low,Liability,Favorable to client
Late fee of 5% per month. (variation 533),Medium,Payment,High penalty
Payment due within 30 days. (variation 534),Low,Payment,Standard terms
Client data shared with third parties. (variation 535),High,Privacy,Privacy risk
Client data shared with third parties. (variation 536),High,Privacy,Privacy risk
Payment due within 30 days. (variation 537),Low,Payment,Standard terms
Vendor liable only for direct damages. (variation 538),Medium,Liability,Partial limitation
Flexible payment options available. (variation 539),Low,Payment,User-friendly
Client data shared with third parties. (variation 540),High,Privacy,Privacy risk
Vendor is not liable for indirect damages. (variation 541),High,Liability,Removes accountability
Liability is capped at total fees paid. (variation 542),High,Liability,Limits compensation
Company may change pricing anytime. (variation 543),High,Payment,Unpredictable costs
Data anonymized. (variation 544),Low,Privacy,Privacy preserved
Termination requires 60 days notice. (variation 545),Low,Termination,Reasonable
Company may change pricing anytime. (variation 546),High,Payment,Unpredictable costs
Late fee of 5% per month. (variation 547),Medium,Payment,High penalty
Payment due within 30 days. (variation 548),Low,Payment,Standard terms
Termination penalty applies. (variation 549),High,Termination,Financial burden
Data encrypted at rest. (variation 550),Low,Privacy,Secure
Termination penalty applies. (variation 551),High,Termination,Financial burden
Vendor liable only for direct damages. (variation 552),Medium,Liability,Partial limitation
Full liability accepted by vendor. (variation 553),Low,Liability,Favorable to client
Termination requires 60 days notice. (variation 554),Low,Termination,Reasonable
Data anonymized. (variation 555),Low,Privacy,Privacy preserved
Client data shared with third parties. (variation 556),High,Privacy,Privacy risk
Late fee of 5% per month. (variation 557),Medium,Payment,High penalty
Contract auto-renews annually. (variation 558),Medium,Termination,Lock-in risk
Liability is capped at total fees paid. (variation 559),High,Liability,Limits compensation
Vendor liable only for direct damages. (variation 560),Medium,Liability,Partial limitation
Liability is capped at total fees paid. (variation 561),High,Liability,Limits compensation
Full liability accepted by vendor. (variation 562),Low,Liability,Favorable to client
Data anonymized. (variation 563),Low,Privacy,Privacy preserved
Vendor is not liable for indirect damages. (variation 564),High,Liability,Removes accountability
Vendor liable only for direct damages. (variation 565),Medium,Liability,Partial limitation
User activity tracked. (variation 566),Medium,Privacy,Tracking concern
Full liability accepted by vendor. (variation 567),Low,Liability,Favorable to client
Full liability accepted by vendor. (variation 568),Low,Liability,Favorable to client
Data encrypted at rest. (variation 569),Low,Privacy,Secure
Termination penalty applies. (variation 570),High,Termination,Financial burden
Termination requires 60 days notice. (variation 571),Low,Termination,Reasonable
Company can terminate without notice. (variation 572),High,Termination,Unfair
Contract auto-renews annually. (variation 573),Medium,Termination,Lock-in risk
Contract auto-renews annually. (variation 574),Medium,Termination,Lock-in risk
Liability is capped at total fees paid. (variation 575),High,Liability,Limits compensation
Liability is capped at total fees paid. (variation 576),High,Liability,Limits compensation
Client data shared with third parties. (variation 577),High,Privacy,Privacy risk
Vendor liable only for direct damages. (variation 578),Medium,Liability,Partial limitation
Payment due within 30 days. (variation 579),Low,Payment,Standard terms
Full liability accepted by vendor. (variation 580),Low,Liability,Favorable to client
Termination requires 60 days notice. (variation 581),Low,Termination,Reasonable
Contract auto-renews annually. (variation 582),Medium,Termination,Lock-in risk
Company may change pricing anytime. (variation 583),High,Payment,Unpredictable costs
Liability is capped at total fees paid. (variation 584),High,Liability,Limits compensation
Company can terminate without notice. (variation 585),High,Termination,Unfair
Full liability accepted by vendor. (variation 586),Low,Liability,Favorable to client
Company may change pricing anytime. (variation 587),High,Payment,Unpredictable costs
Payment due within 30 days. (variation 588),Low,Payment,Standard terms
Late fee of 5% per month. (variation 589),Medium,Payment,High penalty
Vendor liable only for direct damages. (variation 590),Medium,Liability,Partial limitation
Client data shared with third parties. (variation 591),High,Privacy,Privacy risk
Vendor is not liable for indirect damages. (variation 592),High,Liability,Removes accountability
Termination penalty applies. (variation 593),High,Termination,Financial burden
Late fee of 5% per month. (variation 594),Medium,Payment,High penalty
Contract auto-renews annually. (variation 595),Medium,Termination,Lock-in risk
Contract auto-renews annually. (variation 596),Medium,Termination,Lock-in risk
Vendor liable only for direct damages. (variation 597),Medium,Liability,Partial limitation
Termination penalty applies. (variation 598),High,Termination,Financial burden
Payment due within 30 days. (variation 599),Low,Payment,Standard terms
Vendor is not liable for indirect damages. (variation 600),High,Liability,Removes accountability
Flexible payment options available. (variation 601),Low,Payment,User-friendly
Client data shared with third parties. (variation 602),High,Privacy,Privacy risk
User activity tracked. (variation 603),Medium,Privacy,Tracking concern
Data anonymized. (variation 604),Low,Privacy,Privacy preserved
Company can terminate without notice. (variation 605),High,Termination,Unfair
Vendor is not liable for indirect damages. (variation 606),High,Liability,Removes accountability
Contract auto-renews annually. (variation 607),Medium,Termination,Lock-in risk
Termination requires 60 days notice. (variation 608),Low,Termination,Reasonable
User activity tracked. (variation 609),Medium,Privacy,Tracking concern
User activity tracked. (variation 610),Medium,Privacy,Tracking concern
Termination penalty applies. (variation 611),High,Termination,Financial burden
Liability is capped at total fees paid. (variation 612),High,Liability,Limits compensation
Client data shared with third parties. (variation 613),High,Privacy,Privacy risk
Contract auto-renews annually. (variation 614),Medium,Termination,Lock-in risk
Vendor is not liable for indirect damages. (variation 615),High,Liability,Removes accountability
Data encrypted at rest. (variation 616),Low,Privacy,Secure
Data encrypted at rest. (variation 617),Low,Privacy,Secure
Liability is capped at total fees paid. (variation 618),High,Liability,Limits compensation
Liability is capped at total fees paid. (variation 619),High,Liability,Limits compensation
Company can terminate without notice. (variation 620),High,Termination,Unfair
Liability is capped at total fees paid. (variation 621),High,Liability,Limits compensation
Contract auto-renews annually. (variation 622),Medium,Termination,Lock-in risk
Late fee of 5% per month. (variation 623),Medium,Payment,High penalty
Company may change pricing anytime. (variation 624),High,Payment,Unpredictable costs
User activity tracked. (variation 625),Medium,Privacy,Tracking concern
Data anonymized. (variation 626),Low,Privacy,Privacy preserved
Flexible payment options available. (variation 627),Low,Payment,User-friendly
Data encrypted at rest. (variation 628),Low,Privacy,Secure
Late fee of 5% per month. (variation 629),Medium,Payment,High penalty
Company may change pricing anytime. (variation 630),High,Payment,Unpredictable costs
Termination requires 60 days notice. (variation 631),Low,Termination,Reasonable
Full liability accepted by vendor. (variation 632),Low,Liability,Favorable to client
Termination penalty applies. (variation 633),High,Termination,Financial burden
Termination penalty applies. (variation 634),High,Termination,Financial burden
Company can terminate without notice. (variation 635),High,Termination,Unfair
Vendor liable only for direct damages. (variation 636),Medium,Liability,Partial limitation
Termination penalty applies. (variation 637),High,Termination,Financial burden
Data anonymized. (variation 638),Low,Privacy,Privacy preserved
Late fee of 5% per month. (variation 639),Medium,Payment,High penalty
Contract auto-renews annually. (variation 640),Medium,Termination,Lock-in risk
User activity tracked. (variation 641),Medium,Privacy,Tracking concern
Full liability accepted by vendor. (variation 642),Low,Liability,Favorable to client
Data anonymized. (variation 643),Low,Privacy,Privacy preserved
Payment due within 30 days. (variation 644),Low,Payment,Standard terms
Company may change pricing anytime. (variation 645),High,Payment,Unpredictable costs
Company may change pricing anytime. (variation 646),High,Payment,Unpredictable costs
Data encrypted at rest. (variation 647),Low,Privacy,Secure
Client data shared with third parties. (variation 648),High,Privacy,Privacy risk
Termination penalty applies. (variation 649),High,Termination,Financial burden
Data encrypted at rest. (variation 650),Low,Privacy,Secure
Company may change pricing anytime. (variation 651),High,Payment,Unpredictable costs
Contract auto-renews annually. (variation 652),Medium,Termination,Lock-in risk
Termination penalty applies. (variation 653),High,Termination,Financial burden
Payment due within 30 days. (variation 654),Low,Payment,Standard terms
Termination penalty applies. (variation 655),High,Termination,Financial burden
Company can terminate without notice. (variation 656),High,Termination,Unfair
Contract auto-renews annually. (variation 657),Medium,Termination,Lock-in risk
Payment due within 30 days. (variation 658),Low,Payment,Standard terms
User activity tracked. (variation 659),Medium,Privacy,Tracking concern
Termination penalty applies. (variation 660),High,Termination,Financial burden
Vendor is not liable for indirect damages. (variation 661),High,Liability,Removes accountability
User activity tracked. (variation 662),Medium,Privacy,Tracking concern
Liability is capped at total fees paid. (variation 663),High,Liability,Limits compensation
Data anonymized. (variation 664),Low,Privacy,Privacy preserved
Vendor is not liable for indirect damages. (variation 665),High,Liability,Removes accountability
Company may change pricing anytime. (variation 666),High,Payment,Unpredictable costs
Late fee of 5% per month. (variation 667),Medium,Payment,High penalty
Full liability accepted by vendor. (variation 668),Low,Liability,Favorable to client
Contract auto-renews annually. (variation 669),Medium,Termination,Lock-in risk
Client data shared with third parties. (variation 670),High,Privacy,Privacy risk
Client data shared with third parties. (variation 671),High,Privacy,Privacy risk
Payment due within 30 days. (variation 672),Low,Payment,Standard terms
Termination penalty applies. (variation 673),High,Termination,Financial burden
Vendor liable only for direct damages. (variation 674),Medium,Liability,Partial limitation
Company can terminate without notice. (variation 675),High,Termination,Unfair
Vendor liable only for direct damages. (variation 676),Medium,Liability,Partial limitation
Vendor liable only for direct damages. (variation 677),Medium,Liability,Partial limitation
User activity tracked. (variation 678),Medium,Privacy,Tracking concern
Payment due within 30 days. (variation 679),Low,Payment,Standard terms
Company can terminate without notice. (variation 680),High,Termination,Unfair
Vendor liable only for direct damages. (variation 681),Medium,Liability,Partial limitation
Flexible payment options available. (variation 682),Low,Payment,User-friendly
Client data shared with third parties. (variation 683),High,Privacy,Privacy risk
Data anonymized. (variation 684),Low,Privacy,Privacy preserved
Client data shared with third parties. (variation 685),High,Privacy,Privacy risk
Company can terminate without notice. (variation 686),High,Termination,Unfair
Company may change pricing anytime. (variation 687),High,Payment,Unpredictable costs
Termination penalty applies. (variation 688),High,Termination,Financial burden
Contract auto-renews annually. (variation 689),Medium,Termination,Lock-in risk
Data anonymized. (variation 690),Low,Privacy,Privacy preserved
Company may change pricing anytime. (variation 691),High,Payment,Unpredictable costs
Company may change pricing anytime. (variation 692),High,Payment,Unpredictable costs
Termination penalty applies. (variation 693),High,Termination,Financial burden
Termination penalty applies. (variation 694),High,Termination,Financial burden
Late fee of 5% per month. (variation 695),Medium,Payment,High penalty
Full liability accepted by vendor. (variation 696),Low,Liability,Favorable to client
Vendor is not liable for indirect damages. (variation 697),High,Liability,Removes accountability
Late fee of 5% per month. (variation 698),Medium,Payment,High penalty
Late fee of 5% per month. (variation 699),Medium,Payment,High penalty
Flexible payment options available. (variation 700),Low,Payment,User-friendly
Contract auto-renews annually. (variation 701),Medium,Termination,Lock-in risk
Termination penalty applies. (variation 702),High,Termination,Financial burden
Liability is capped at total fees paid. (variation 703),High,Liability,Limits compensation
Vendor is not liable for indirect damages. (variation 704),High,Liability,Removes accountability
User activity tracked. (variation 705),Medium,Privacy,Tracking concern
User activity tracked. (variation 706),Medium,Privacy,Tracking concern
Full liability accepted by vendor. (variation 707),Low,Liability,Favorable to client
User activity tracked. (variation 708),Medium,Privacy,Tracking concern
Data anonymized. (variation 709),Low,Privacy,Privacy preserved
Payment due within 30 days. (variation 710),Low,Payment,Standard terms
Client data shared with third parties. (variation 711),High,Privacy,Privacy risk
Data encrypted at rest. (variation 712),Low,Privacy,Secure
Data anonymized. (variation 713),Low,Privacy,Privacy preserved
Vendor is not liable for indirect damages. (variation 714),High,Liability,Removes accountability
Late fee of 5% per month. (variation 715),Medium,Payment,High penalty
Data anonymized. (variation 716),Low,Privacy,Privacy preserved
Late fee of 5% per month. (variation 717),Medium,Payment,High penalty
User activity tracked. (variation 718),Medium,Privacy,Tracking concern
Data encrypted at rest. (variation 719),Low,Privacy,Secure
Client data shared with third parties. (variation 720),High,Privacy,Privacy risk
Company may change pricing anytime. (variation 721),High,Payment,Unpredictable costs
Data anonymized. (variation 722),Low,Privacy,Privacy preserved
Payment due within 30 days. (variation 723),Low,Payment,Standard terms
Vendor liable only for direct damages. (variation 724),Medium,Liability,Partial limitation
Payment due within 30 days. (variation 725),Low,Payment,Standard terms
Data anonymized. (variation 726),Low,Privacy,Privacy preserved
Contract auto-renews annually. (variation 727),Medium,Termination,Lock-in risk
Company may change pricing anytime. (variation 728),High,Payment,Unpredictable costs
Contract auto-renews annually. (variation 729),Medium,Termination,Lock-in risk
Company can terminate without notice. (variation 730),High,Termination,Unfair
Payment due within 30 days. (variation 731),Low,Payment,Standard terms
Data encrypted at rest. (variation 732),Low,Privacy,Secure
Full liability accepted by vendor. (variation 733),Low,Liability,Favorable to client
Data anonymized. (variation 734),Low,Privacy,Privacy preserved
Termination requires 60 days notice. (variation 735),Low,Termination,Reasonable
Vendor liable only for direct damages. (variation 736),Medium,Liability,Partial limitation
Payment due within 30 days. (variation 737),Low,Payment,Standard terms
Termination penalty applies. (variation 738),High,Termination,Financial burden
Data anonymized. (variation 739),Low,Privacy,Privacy preserved
Vendor is not liable for indirect damages. (variation 740),High,Liability,Removes accountability
Client data shared with third parties. (variation 741),High,Privacy,Privacy risk
Vendor is not liable for indirect damages. (variation 742),High,Liability,Removes accountability
Flexible payment options available. (variation 743),Low,Payment,User-friendly
Company can terminate without notice. (variation 744),High,Termination,Unfair
Termination penalty applies. (variation 745),High,Termination,Financial burden
Contract auto-renews annually. (variation 746),Medium,Termination,Lock-in risk
Full liability accepted by vendor. (variation 747),Low,Liability,Favorable to client
Data encrypted at rest. (variation 748),Low,Privacy,Secure
Data encrypted at rest. (variation 749),Low,Privacy,Secure
User activity tracked. (variation 750),Medium,Privacy,Tracking concern
Contract auto-renews annually. (variation 751),Medium,Termination,Lock-in risk
Late fee of 5% per month. (variation 752),Medium,Payment,High penalty
Flexible payment options available. (variation 753),Low,Payment,User-friendly
Client data shared with third parties. (variation 754),High,Privacy,Privacy risk
Termination penalty applies. (variation 755),High,Termination,Financial burden
Data anonymized. (variation 756),Low,Privacy,Privacy preserved
Full liability accepted by vendor. (variation 757),Low,Liability,Favorable to client
Company may change pricing anytime. (variation 758),High,Payment,Unpredictable costs
Liability is capped at total fees paid. (variation 759),High,Liability,Limits compensation
Data encrypted at rest. (variation 760),Low,Privacy,Secure
Vendor liable only for direct damages. (variation 761),Medium,Liability,Partial limitation
Company may change pricing anytime. (variation 762),High,Payment,Unpredictable costs
Termination penalty applies. (variation 763),High,Termination,Financial burden
Data anonymized. (variation 764),Low,Privacy,Privacy preserved
Company can terminate without notice. (variation 765),High,Termination,Unfair
Client data shared with third parties. (variation 766),High,Privacy,Privacy risk
Company can terminate without notice. (variation 767),High,Termination,Unfair
Company may change pricing anytime. (variation 768),High,Payment,Unpredictable costs
Company can terminate without notice. (variation 769),High,Termination,Unfair
User activity tracked. (variation 770),Medium,Privacy,Tracking concern
Vendor liable only for direct damages. (variation 771),Medium,Liability,Partial limitation
Flexible payment options available. (variation 772),Low,Payment,User-friendly
Contract auto-renews annually. (variation 773),Medium,Termination,Lock-in risk
Late fee of 5% per month. (variation 774),Medium,Payment,High penalty
Contract auto-renews annually. (variation 775),Medium,Termination,Lock-in risk
Termination requires 60 days notice. (variation 776),Low,Termination,Reasonable
Payment due within 30 days. (variation 777),Low,Payment,Standard terms
Client data shared with third parties. (variation 778),High,Privacy,Privacy risk
Client data shared with third parties. (variation 779),High,Privacy,Privacy risk
Contract auto-renews annually. (variation 780),Medium,Termination,Lock-in risk
Termination requires 60 days notice. (variation 781),Low,Termination,Reasonable
Full liability accepted by vendor. (variation 782),Low,Liability,Favorable to client
Late fee of 5% per month. (variation 783),Medium,Payment,High penalty
Liability is capped at total fees paid. (variation 784),High,Liability,Limits compensation
Late fee of 5% per month. (variation 785),Medium,Payment,High penalty
Company may change pricing anytime. (variation 786),High,Payment,Unpredictable costs
Liability is capped at total fees paid. (variation 787),High,Liability,Limits compensation
Full liability accepted by vendor. (variation 788),Low,Liability,Favorable to client
Flexible payment options available. (variation 789),Low,Payment,User-friendly
Client data shared with third parties. (variation 790),High,Privacy,Privacy risk
Client data shared with third parties. (variation 791),High,Privacy,Privacy risk
User activity tracked. (variation 792),Medium,Privacy,Tracking concern
Flexible payment options available. (variation 793),Low,Payment,User-friendly
User activity tracked. (variation 794),Medium,Privacy,Tracking concern
Payment due within 30 days. (variation 795),Low,Payment,Standard terms
Liability is capped at total fees paid. (variation 796),High,Liability,Limits compensation
Liability is capped at total fees paid. (variation 797),High,Liability,Limits compensation
User activity tracked. (variation 798),Medium,Privacy,Tracking concern
Full liability accepted by vendor. (variation 799),Low,Liability,Favorable to client
Liability is capped at total fees paid. (variation 800),High,Liability,Limits compensation
Termination requires 60 days notice. (variation 801),Low,Termination,Reasonable
Termination requires 60 days notice. (variation 802),Low,Termination,Reasonable
Vendor liable only for direct damages. (variation 803),Medium,Liability,Partial limitation
Termination requires 60 days notice. (variation 804),Low,Termination,Reasonable
Flexible payment options available. (variation 805),Low,Payment,User-friendly
Vendor liable only for direct damages. (variation 806),Medium,Liability,Partial limitation
Liability is capped at total fees paid. (variation 807),High,Liability,Limits compensation
Company can terminate without notice. (variation 808),High,Termination,Unfair
Contract auto-renews annually. (variation 809),Medium,Termination,Lock-in risk
Vendor liable only for direct damages. (variation 810),Medium,Liability,Partial limitation
Contract auto-renews annually. (variation 811),Medium,Termination,Lock-in risk
Termination penalty applies. (variation 812),High,Termination,Financial burden
Termination penalty applies. (variation 813),High,Termination,Financial burden
Payment due within 30 days. (variation 814),Low,Payment,Standard terms
Client data shared with third parties. (variation 815),High,Privacy,Privacy risk
Company may change pricing anytime. (variation 816),High,Payment,Unpredictable costs
Client data shared with third parties. (variation 817),High,Privacy,Privacy risk
Vendor liable only for direct damages. (variation 818),Medium,Liability,Partial limitation
Contract auto-renews annually. (variation 819),Medium,Termination,Lock-in risk
Company can terminate without notice. (variation 820),High,Termination,Unfair
Data anonymized. (variation 821),Low,Privacy,Privacy preserved
Company can terminate without notice. (variation 822),High,Termination,Unfair
Late fee of 5% per month. (variation 823),Medium,Payment,High penalty
Liability is capped at total fees paid. (variation 824),High,Liability,Limits compensation
Company can terminate without notice. (variation 825),High,Termination,Unfair
Client data shared with third parties. (variation 826),High,Privacy,Privacy risk
Termination penalty applies. (variation 827),High,Termination,Financial burden
Termination requires 60 days notice. (variation 828),Low,Termination,Reasonable
Flexible payment options available. (variation 829),Low,Payment,User-friendly
Data anonymized. (variation 830),Low,Privacy,Privacy preserved
Flexible payment options available. (variation 831),Low,Payment,User-friendly
Flexible payment options available. (variation 832),Low,Payment,User-friendly
Full liability accepted by vendor. (variation 833),Low,Liability,Favorable to client
Data encrypted at rest. (variation 834),Low,Privacy,Secure
Data encrypted at rest. (variation 835),Low,Privacy,Secure
Client data shared with third parties. (variation 836),High,Privacy,Privacy risk
Late fee of 5% per month. (variation 837),Medium,Payment,High penalty
Data encrypted at rest. (variation 838),Low,Privacy,Secure
Data encrypted at rest. (variation 839),Low,Privacy,Secure
Vendor liable only for direct damages. (variation 840),Medium,Liability,Partial limitation
Termination requires 60 days notice. (variation 841),Low,Termination,Reasonable
Data encrypted at rest. (variation 842),Low,Privacy,Secure
Data encrypted at rest. (variation 843),Low,Privacy,Secure
Flexible payment options available. (variation 844),Low,Payment,User-friendly
Contract auto-renews annually. (variation 845),Medium,Termination,Lock-in risk
Payment due within 30 days. (variation 846),Low,Payment,Standard terms
Company may change pricing anytime. (variation 847),High,Payment,Unpredictable costs
Company may change pricing anytime. (variation 848),High,Payment,Unpredictable costs
User activity tracked. (variation 849),Medium,Privacy,Tracking concern
Data encrypted at rest. (variation 850),Low,Privacy,Secure
User activity tracked. (variation 851),Medium,Privacy,Tracking concern
Data anonymized. (variation 852),Low,Privacy,Privacy preserved
Vendor liable only for direct damages. (variation 853),Medium,Liability,Partial limitation
Full liability accepted by vendor. (variation 854),Low,Liability,Favorable to client
Contract auto-renews annually. (variation 855),Medium,Termination,Lock-in risk
Flexible payment options available. (variation 856),Low,Payment,User-friendly
Vendor is not liable for indirect damages. (variation 857),High,Liability,Removes accountability
Full liability accepted by vendor. (variation 858),Low,Liability,Favorable to client
Termination penalty applies. (variation 859),High,Termination,Financial burden
Liability is capped at total fees paid. (variation 860),High,Liability,Limits compensation
Client data shared with third parties. (variation 861),High,Privacy,Privacy risk
Termination penalty applies. (variation 862),High,Termination,Financial burden
Company can terminate without notice. (variation 863),High,Termination,Unfair
Data anonymized. (variation 864),Low,Privacy,Privacy preserved
Payment due within 30 days. (variation 865),Low,Payment,Standard terms
Flexible payment options available. (variation 866),Low,Payment,User-friendly
Payment due within 30 days. (variation 867),Low,Payment,Standard terms
Termination penalty applies. (variation 868),High,Termination,Financial burden
Company may change pricing anytime. (variation 869),High,Payment,Unpredictable costs
Vendor liable only for direct damages. (variation 870),Medium,Liability,Partial limitation
Termination penalty applies. (variation 871),High,Termination,Financial burden
Payment due within 30 days. (variation 872),Low,Payment,Standard terms
Company may change pricing anytime. (variation 873),High,Payment,Unpredictable costs
Termination requires 60 days notice. (variation 874),Low,Termination,Reasonable
Termination penalty applies. (variation 875),High,Termination,Financial burden
Data anonymized. (variation 876),Low,Privacy,Privacy preserved
User activity tracked. (variation 877),Medium,Privacy,Tracking concern
Termination penalty applies. (variation 878),High,Termination,Financial burden
Contract auto-renews annually. (variation 879),Medium,Termination,Lock-in risk
Liability is capped at total fees paid. (variation 880),High,Liability,Limits compensation
Data anonymized. (variation 881),Low,Privacy,Privacy preserved
Vendor liable only for direct damages. (variation 882),Medium,Liability,Partial limitation
Late fee of 5% per month. (variation 883),Medium,Payment,High penalty
Data anonymized. (variation 884),Low,Privacy,Privacy preserved
Vendor liable only for direct damages. (variation 885),Medium,Liability,Partial limitation
Client data shared with third parties. (variation 886),High,Privacy,Privacy risk
Liability is capped at total fees paid. (variation 887),High,Liability,Limits compensation
Company can terminate without notice. (variation 888),High,Termination,Unfair
Data anonymized. (variation 889),Low,Privacy,Privacy preserved
Payment due within 30 days. (variation 890),Low,Payment,Standard terms
Termination requires 60 days notice. (variation 891),Low,Termination,Reasonable
Company may change pricing anytime. (variation 892),High,Payment,Unpredictable costs
Company may change pricing anytime. (variation 893),High,Payment,Unpredictable costs
Liability is capped at total fees paid. (variation 894),High,Liability,Limits compensation
Payment due within 30 days. (variation 895),Low,Payment,Standard terms
Termination penalty applies. (variation 896),High,Termination,Financial burden
Full liability accepted by vendor. (variation 897),Low,Liability,Favorable to client
Vendor is not liable for indirect damages. (variation 898),High,Liability,Removes accountability
Full liability accepted by vendor. (variation 899),Low,Liability,Favorable to client
Client data shared with third parties. (variation 900),High,Privacy,Privacy risk
Company can terminate without notice. (variation 901),High,Termination,Unfair
Data encrypted at rest. (variation 902),Low,Privacy,Secure
Company may change pricing anytime. (variation 903),High,Payment,Unpredictable costs
Late fee of 5% per month. (variation 904),Medium,Payment,High penalty
Data anonymized. (variation 905),Low,Privacy,Privacy preserved
Late fee of 5% per month. (variation 906),Medium,Payment,High penalty
Termination requires 60 days notice. (variation 907),Low,Termination,Reasonable
Contract auto-renews annually. (variation 908),Medium,Termination,Lock-in risk
Client data shared with third parties. (variation 909),High,Privacy,Privacy risk
Vendor liable only for direct damages. (variation 910),Medium,Liability,Partial limitation
Termination requires 60 days notice. (variation 911),Low,Termination,Reasonable
User activity tracked. (variation 912),Medium,Privacy,Tracking concern
Company may change pricing anytime. (variation 913),High,Payment,Unpredictable costs
Data anonymized. (variation 914),Low,Privacy,Privacy preserved
Liability is capped at total fees paid. (variation 915),High,Liability,Limits compensation
Late fee of 5% per month. (variation 916),Medium,Payment,High penalty
Full liability accepted by vendor. (variation 917),Low,Liability,Favorable to client
Flexible payment options available. (variation 918),Low,Payment,User-friendly
Vendor is not liable for indirect damages. (variation 919),High,Liability,Removes accountability
Termination requires 60 days notice. (variation 920),Low,Termination,Reasonable
Company can terminate without notice. (variation 921),High,Termination,Unfair
Flexible payment options available. (variation 922),Low,Payment,User-friendly
User activity tracked. (variation 923),Medium,Privacy,Tracking concern
